dataset,quarantine_reason,flight_id,airline,source,destination,departure_time,arrival_time,flight_id_raw,duration_raw,flight_id_valid_flag,arrival_time_adjusted,overnight_flag,duration_minutes,duration_anomaly_flag,booking_id,booking_date,status,status_valid_flag
flights,invalid flight ID or duration anomaly,6F196,IndiGo,CCU,MAA,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,6F196,,False,2026-04-21 00:47:41.703,True,103.0,False,,,,
flights,invalid flight ID or duration anomaly,6F025,IndiGo,BLR,BOM,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,6F025,,False,2026-04-20 23:57:41.701,False,55.0,False,,,,
flights,invalid flight ID or duration anomaly,6F251,Unknown,DEL,BLR,2026-04-20 22:56:41.703,2026-04-20 23:37:41.703,6F251,,False,2026-04-20 23:37:41.703,False,41.0,False,,,,
flights,invalid flight ID or duration anomaly,6F026,IndiGo,BOM,CCU,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,6F026,,False,2026-04-21 03:13:42.000,True,267.0,False,,,,
flights,invalid flight ID or duration anomaly,6F099,IndiGo,MAA,DEL,2026-04-20 22:24:41.702,2026-04-20 22:59:41.702,6F099,,False,2026-04-20 22:59:41.702,False,35.0,False,,,,
flights,invalid flight ID or duration anomaly,6F164,IndiGo,BLR,BOM,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,6F164,,False,2026-04-21 00:45:41.703,True,147.0,False,,,,
flights,invalid flight ID or duration anomaly,6F195,IndiGo,CCU,DEL,2026-04-20 21:44:41.703,2026-04-20 22:39:41.703,6F195,,False,2026-04-20 22:39:41.703,False,55.0,False,,,,
flights,invalid flight ID or duration anomaly,6F174,IndiGo,DEL,HYD,2026-04-20 21:36:41.703,2026-04-20 22:16:41.703,6F174,,False,2026-04-20 22:16:41.703,False,40.0,False,,,,
flights,invalid flight ID or duration anomaly,6F213,IndiGo,BLR,BOM,2026-04-20 21:05:41.703,2026-04-21 00:32:41.703,6F213,,False,2026-04-21 00:32:41.703,True,207.0,False,,,,
flights,invalid flight ID or duration anomaly,6F236,IndiGo,BOM,DEL,2026-04-20 20:35:41.704,2026-04-20 23:54:41.704,6F236,,False,2026-04-20 23:54:41.704,False,199.0,False,,,,
